case_id,genre,diplome,anciennete_annees,verite_terrain,recommandation_ia,ia_visible,decision_humaine,recours,decision_finale,decision_at,final_at,reviewer_id,synthetic
SYN-00100,Homme,Bac+2,2.3,Défavorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-01-27,2026-03-05,R-06,True
SYN-00101,Femme,Licence,7.7,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-02-25,,R-16,True
SYN-00102,Femme,Master,18.0,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-21,,R-11,True
SYN-00103,Femme,Licence,7.6,Défavorable,Favorable,Masquée,Défavorable,Non,Défavorable,2026-02-22,,R-22,True
SYN-00104,Femme,Bac+2,3.0,Favorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-01-26,,R-15,True
SYN-00105,Femme,Licence,3.2,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-02-28,,R-15,True
SYN-00106,Homme,Licence,4.4,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-05,,R-16,True
SYN-00107,Homme,Licence,10.5,Favorable,Favorable,Masquée,Défavorable,Oui,Favorable,2026-02-16,2026-03-31,R-23,True
SYN-00108,Femme,Bac+2,6.8,Favorable,Défavorable,Visible,Défavorable,Oui,Favorable,2026-01-12,2026-01-21,R-24,True
SYN-00109,Femme,Licence,3.7,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-03-29,,R-23,True
SYN-00110,Femme,Licence,16.3,Favorable,Défavorable,Masquée,Défavorable,Non,Défavorable,2026-01-29,,R-07,True
SYN-00111,Homme,Licence,6.7,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-07,,R-08,True
SYN-00112,Homme,Bac+2,3.8,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-04-20,,R-18,True
SYN-00113,Femme,Licence,4.4,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-30,,R-24,True
SYN-00114,Homme,Bac+2,14.4,Favorable,Défavorable,Visible,Défavorable,Oui,Favorable,2026-03-14,2026-03-22,R-18,True
SYN-00115,Homme,Master,5.5,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-04-10,,R-04,True
SYN-00116,Femme,Licence,3.8,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-01-04,,R-04,True
SYN-00117,Femme,Licence,2.4,Défavorable,Défavorable,Masquée,Défavorable,Non,Défavorable,2026-03-27,,R-08,True
SYN-00118,Femme,Licence,1.4,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-02-06,,R-15,True
SYN-00119,Femme,Licence,5.3,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-01-27,,R-30,True
SYN-00120,Femme,Master,1.6,Défavorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-20,,R-18,True
SYN-00121,Femme,Bac+2,3.4,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-04-19,,R-19,True
SYN-00122,Femme,Master,2.1,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-09,,R-15,True
SYN-00123,Femme,Licence,8.5,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-08,,R-02,True
SYN-00124,Femme,Master,7.1,Défavorable,Défavorable,Masquée,Défavorable,Non,Défavorable,2026-01-11,,R-01,True
SYN-00125,Femme,Licence,2.5,Favorable,Défavorable,Masquée,Défavorable,Non,Défavorable,2026-03-15,,R-25,True
SYN-00126,Femme,Bac+2,16.6,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-23,,R-23,True
SYN-00127,Homme,Bac+2,5.9,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-02-10,,R-03,True
SYN-00128,Femme,Master,10.2,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-05,,R-15,True
SYN-00129,Homme,Master,1.0,Défavorable,Favorable,Masquée,Défavorable,Oui,Défavorable,2026-04-05,2026-05-04,R-23,True
SYN-00130,Femme,Licence,14.6,Défavorable,Favorable,Visible,Favorable,Non,Favorable,2026-02-18,,R-04,True
SYN-00131,Homme,Master,3.6,Défavorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-09,,R-21,True
SYN-00132,Femme,Licence,2.4,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-01-13,,R-09,True
SYN-00133,Homme,Licence,4.4,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-02-16,,R-14,True
SYN-00134,Homme,Licence,3.1,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-04-27,,R-26,True
SYN-00135,Femme,Licence,3.9,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-25,,R-28,True
SYN-00136,Femme,Licence,11.2,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-02-05,,R-04,True
SYN-00137,Femme,Licence,4.8,Défavorable,Défavorable,Masquée,Défavorable,Non,Défavorable,2026-03-07,,R-18,True
SYN-00138,Homme,Licence,6.5,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-01-25,,R-29,True
SYN-00139,Homme,Master,3.8,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-31,,R-26,True
SYN-00140,Homme,Licence,3.9,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-08,,R-07,True
SYN-00141,Femme,Licence,14.8,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-04,,R-01,True
SYN-00142,Homme,Licence,4.9,Favorable,Défavorable,Visible,Défavorable,Oui,Favorable,2026-03-13,2026-04-19,R-03,True
SYN-00143,Homme,Bac+2,3.7,Défavorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-01-20,2026-02-14,R-17,True
SYN-00144,Homme,Master,5.2,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-08,,R-04,True
SYN-00145,Homme,Bac+2,14.8,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-06,,R-16,True
SYN-00146,Homme,Licence,9.1,Défavorable,Favorable,Visible,Défavorable,Oui,Défavorable,2026-01-09,2026-02-12,R-09,True
SYN-00147,Homme,Licence,3.5,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-04-20,,R-15,True
SYN-00148,Homme,Licence,6.4,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-02-05,,R-26,True
SYN-00149,Femme,Licence,5.2,Favorable,Favorable,Visible,Défavorable,Non,Défavorable,2026-01-09,,R-04,True
SYN-00150,Femme,Bac+2,1.8,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-08,,R-30,True
SYN-00151,Femme,Master,7.3,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-15,,R-02,True
SYN-00152,Femme,Bac+2,13.7,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-01-16,,R-06,True
SYN-00153,Homme,Master,2.2,Défavorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-04-26,2026-06-01,R-15,True
SYN-00154,Homme,Bac+2,5.9,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-25,,R-03,True
SYN-00155,Homme,Licence,12.3,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-03-18,,R-21,True
SYN-00156,Homme,Licence,8.1,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-02-17,,R-30,True
SYN-00157,Homme,Master,6.0,Favorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-01-31,,R-23,True
SYN-00158,Homme,Licence,3.0,Défavorable,Favorable,Visible,Favorable,Non,Favorable,2026-02-28,,R-19,True
SYN-00159,Homme,Licence,5.0,Défavorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-04-16,2026-05-02,R-23,True
SYN-00160,Homme,Licence,7.9,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-02-25,,R-16,True
SYN-00161,Homme,Bac+2,5.2,Défavorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-04-20,2026-05-24,R-29,True
SYN-00162,Homme,Bac+2,3.5,Favorable,Favorable,Visible,Défavorable,Non,Défavorable,2026-03-27,,R-12,True
SYN-00163,Femme,Licence,10.9,Défavorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-02,,R-21,True
SYN-00164,Femme,Licence,4.4,Défavorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-01-29,2026-03-10,R-09,True
SYN-00165,Homme,Bac+2,12.2,Défavorable,Défavorable,Masquée,Défavorable,Oui,Défavorable,2026-04-06,2026-05-01,R-29,True
SYN-00166,Femme,Master,5.1,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-04-01,,R-06,True
SYN-00167,Femme,Licence,8.3,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-01-14,,R-07,True
SYN-00168,Femme,Master,9.5,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-01-05,,R-23,True
SYN-00169,Homme,Licence,1.8,Défavorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-01-31,2026-03-13,R-24,True
SYN-00170,Homme,Bac+2,5.0,Défavorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-01-25,2026-02-21,R-17,True
SYN-00171,Femme,Licence,2.8,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-15,,R-02,True
SYN-00172,Homme,Master,6.9,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-02-23,,R-08,True
SYN-00173,Homme,Master,7.8,Favorable,Favorable,Masquée,Défavorable,Oui,Favorable,2026-03-13,2026-03-19,R-12,True
SYN-00174,Homme,Bac+2,4.2,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-19,,R-02,True
SYN-00175,Femme,Licence,8.8,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-03-22,,R-10,True
SYN-00176,Femme,Licence,5.2,Défavorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-01-12,2026-01-31,R-13,True
SYN-00177,Femme,Master,2.5,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-02-11,,R-10,True
SYN-00178,Homme,Bac+2,1.7,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-03-20,,R-18,True
SYN-00179,Homme,Bac+2,3.9,Favorable,Défavorable,Visible,Défavorable,Oui,Favorable,2026-04-06,2026-04-24,R-04,True
SYN-00180,Homme,Master,9.5,Favorable,Favorable,Masquée,Défavorable,Oui,Défavorable,2026-03-04,2026-04-11,R-10,True
SYN-00181,Homme,Licence,13.6,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-24,,R-02,True
SYN-00182,Femme,Bac+2,3.5,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-02-14,,R-23,True
SYN-00183,Femme,Master,6.5,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-02-12,,R-23,True
SYN-00184,Homme,Licence,5.9,Favorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-01-04,,R-24,True
SYN-00185,Femme,Licence,3.3,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-03-13,,R-26,True
SYN-00186,Femme,Licence,8.4,Favorable,Favorable,Masquée,Défavorable,Non,Défavorable,2026-01-14,,R-18,True
SYN-00187,Femme,Bac+2,10.4,Favorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-04-07,2026-05-04,R-08,True
SYN-00188,Femme,Licence,8.0,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-04,,R-09,True
SYN-00189,Homme,Master,2.0,Défavorable,Défavorable,Masquée,Défavorable,Oui,Défavorable,2026-01-14,2026-01-30,R-26,True
SYN-00190,Homme,Licence,4.7,Favorable,Défavorable,Masquée,Défavorable,Oui,Favorable,2026-02-08,2026-02-25,R-21,True
SYN-00191,Femme,Bac+2,8.8,Favorable,Défavorable,Visible,Défavorable,Oui,Défavorable,2026-03-16,2026-04-30,R-01,True
SYN-00192,Femme,Licence,10.7,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-07,,R-07,True
SYN-00193,Femme,Master,3.9,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-28,,R-05,True
SYN-00194,Femme,Bac+2,3.2,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-03-10,,R-04,True
SYN-00195,Homme,Bac+2,3.3,Favorable,Défavorable,Visible,Défavorable,Oui,Favorable,2026-04-02,2026-04-09,R-18,True
SYN-00196,Femme,Licence,6.3,Favorable,Favorable,Masquée,Défavorable,Oui,Défavorable,2026-01-08,2026-01-19,R-13,True
SYN-00197,Homme,Master,7.8,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-04-26,,R-05,True
SYN-00198,Homme,Licence,8.9,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-02-10,,R-26,True
SYN-00199,Homme,Master,0.7,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-03-15,,R-10,True
SYN-00200,Femme,Licence,0.4,Défavorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-03-19,,R-14,True
SYN-00201,Femme,Licence,9.0,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-02-14,,R-24,True
SYN-00202,Homme,Master,0.6,Favorable,Favorable,Visible,Défavorable,Non,Défavorable,2026-04-01,,R-05,True
SYN-00203,Femme,Licence,0.9,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-23,,R-14,True
SYN-00204,Homme,Master,4.8,Défavorable,Défavorable,Masquée,Défavorable,Oui,Défavorable,2026-03-29,2026-04-10,R-11,True
SYN-00205,Femme,Licence,5.0,Favorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-04-04,,R-18,True
SYN-00206,Homme,Bac+2,0.3,Favorable,Favorable,Masquée,Favorable,Non,Favorable,2026-03-07,,R-13,True
SYN-00207,Homme,Bac+2,1.9,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-01-21,,R-28,True
SYN-00208,Homme,Bac+2,18.0,Défavorable,Favorable,Masquée,Défavorable,Non,Défavorable,2026-02-18,,R-23,True
SYN-00209,Femme,Licence,4.4,Défavorable,Favorable,Masquée,Favorable,Non,Favorable,2026-02-15,,R-29,True
SYN-00210,Homme,Licence,3.2,Défavorable,Défavorable,Masquée,Favorable,Non,Favorable,2026-03-29,,R-30,True
SYN-00211,Femme,Bac+2,11.2,Favorable,Défavorable,Visible,Défavorable,Oui,Favorable,2026-02-06,2026-03-20,R-05,True
SYN-00212,Femme,Bac+2,2.9,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-02-05,,R-04,True
SYN-00213,Homme,Master,4.3,Favorable,Défavorable,Visible,Défavorable,Oui,Favorable,2026-04-29,2026-06-03,R-10,True
SYN-00214,Femme,Master,4.2,Favorable,Favorable,Visible,Favorable,Non,Favorable,2026-01-17,,R-29,True
SYN-00215,Femme,Bac+2,7.2,Favorable,Défavorable,Masquée,Défavorable,Non,Défavorable,2026-01-15,,R-28,True
SYN-00216,Homme,Licence,3.3,Favorable,Défavorable,Visible,Défavorable,Non,Défavorable,2026-02-06,,R-11,True
