status,duration_months,credit_history,purpose,amount_dm,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_group
200_plus_dm,48,all_repaid_at_bank,furniture_equipment,3578,1000_plus_dm,7_plus_years,4,male_married_or_widowed,none,1,unknown_or_none,47,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,36,repaid_to_date,other,10875,unknown_or_none,7_plus_years,2,male_married_or_widowed,none,2,savings_or_life_insurance,45,none,rent,2,skilled_employee_or_official,1,yes,no,good,35_49
no_checking_account,12,repaid_to_date,other,1344,unknown_or_none,1_to_4_years,4,male_married_or_widowed,none,2,unknown_or_none,43,none,rent,2,resident_unskilled,1,no,no,good,35_49
200_plus_dm,6,all_repaid_at_bank,furniture_equipment,1237,below_100_dm,1_to_4_years,1,female_non_single_or_male_single,none,1,car_or_other,27,none,rent,2,skilled_employee_or_official,2,no,no,good,25_34
200_plus_dm,12,no_or_repaid_credits,furniture_equipment,3077,unknown_or_none,1_to_4_years,2,male_married_or_widowed,none,4,savings_or_life_insurance,52,none,rent,1,skilled_employee_or_official,2,yes,no,good,50_plus
200_plus_dm,24,no_or_repaid_credits,furniture_equipment,2284,unknown_or_none,4_to_7_years,4,male_married_or_widowed,none,2,savings_or_life_insurance,28,none,rent,1,skilled_employee_or_official,2,yes,no,good,25_34
below_0_dm,12,no_or_repaid_credits,furniture_equipment,1567,unknown_or_none,1_to_4_years,1,female_non_single_or_male_single,none,1,savings_or_life_insurance,22,none,rent,1,skilled_employee_or_official,2,yes,no,good,under_25
200_plus_dm,24,repaid_to_date,other,2032,unknown_or_none,7_plus_years,4,male_married_or_widowed,none,4,real_estate,60,none,own,2,skilled_employee_or_official,2,yes,no,good,50_plus
below_0_dm,21,all_repaid_at_bank,used_car,2745,500_to_1000_dm,4_to_7_years,3,male_married_or_widowed,none,2,savings_or_life_insurance,32,none,rent,2,skilled_employee_or_official,2,yes,no,good,25_34
200_plus_dm,30,no_or_repaid_credits,furniture_equipment,1867,1000_plus_dm,7_plus_years,4,male_married_or_widowed,none,4,savings_or_life_insurance,58,none,rent,1,skilled_employee_or_official,2,yes,no,good,50_plus
200_plus_dm,36,no_or_repaid_credits,furniture_equipment,2299,100_to_500_dm,7_plus_years,4,male_married_or_widowed,none,4,savings_or_life_insurance,39,none,rent,1,skilled_employee_or_official,2,no,no,good,35_49
200_plus_dm,24,no_or_repaid_credits,used_car,929,1000_plus_dm,4_to_7_years,4,male_married_or_widowed,none,2,savings_or_life_insurance,31,stores,rent,1,skilled_employee_or_official,2,yes,no,good,25_34
0_to_200_dm,12,no_or_repaid_credits,furniture_equipment,3399,1000_plus_dm,7_plus_years,2,male_married_or_widowed,none,3,savings_or_life_insurance,37,none,rent,1,manager_or_self_employed,2,no,no,good,35_49
below_0_dm,9,no_or_repaid_credits,used_car,2030,1000_plus_dm,4_to_7_years,2,male_married_or_widowed,none,1,savings_or_life_insurance,24,none,rent,1,skilled_employee_or_official,2,yes,no,good,under_25
200_plus_dm,21,all_repaid_at_bank,new_car,3275,unknown_or_none,7_plus_years,1,male_married_or_widowed,none,4,savings_or_life_insurance,36,none,rent,1,manager_or_self_employed,2,yes,no,good,35_49
200_plus_dm,24,all_repaid_at_bank,other,1940,500_to_1000_dm,7_plus_years,4,male_married_or_widowed,none,4,unknown_or_none,60,none,rent,1,skilled_employee_or_official,2,yes,no,good,50_plus
no_checking_account,21,all_repaid_at_bank,other,1602,unknown_or_none,7_plus_years,4,female_single,none,3,savings_or_life_insurance,30,none,rent,2,skilled_employee_or_official,2,yes,no,good,25_34
200_plus_dm,15,no_or_repaid_credits,furniture_equipment,1979,1000_plus_dm,7_plus_years,4,male_married_or_widowed,none,2,savings_or_life_insurance,35,none,rent,1,skilled_employee_or_official,2,no,no,good,35_49
200_plus_dm,24,all_repaid_at_bank,other,2022,unknown_or_none,1_to_4_years,4,female_non_single_or_male_single,none,4,savings_or_life_insurance,37,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,36,all_repaid_at_bank,furniture_equipment,3342,1000_plus_dm,7_plus_years,4,male_married_or_widowed,none,2,savings_or_life_insurance,51,none,rent,1,skilled_employee_or_official,2,yes,no,good,50_plus
below_0_dm,18,no_or_repaid_credits,other,5866,below_100_dm,1_to_4_years,2,male_married_or_widowed,none,2,savings_or_life_insurance,30,none,rent,2,skilled_employee_or_official,2,yes,no,good,25_34
0_to_200_dm,15,all_repaid_at_bank,new_car,2360,100_to_500_dm,1_to_4_years,2,male_married_or_widowed,none,2,savings_or_life_insurance,36,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,15,all_repaid_at_bank,used_car,1520,1000_plus_dm,7_plus_years,4,male_married_or_widowed,none,4,car_or_other,63,none,rent,1,skilled_employee_or_official,2,no,no,good,50_plus
no_checking_account,12,no_or_repaid_credits,other,3651,500_to_1000_dm,1_to_4_years,1,male_married_or_widowed,none,3,car_or_other,31,none,rent,1,skilled_employee_or_official,1,no,no,good,25_34
200_plus_dm,24,all_repaid_at_bank,new_car,2346,unknown_or_none,4_to_7_years,4,male_married_or_widowed,none,3,savings_or_life_insurance,35,none,rent,2,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,36,repaid_to_date,furniture_equipment,4454,unknown_or_none,1_to_4_years,4,female_non_single_or_male_single,none,4,unknown_or_none,34,none,rent,2,skilled_employee_or_official,2,no,no,good,25_34
no_checking_account,6,all_repaid_at_bank,other,666,500_to_1000_dm,4_to_7_years,3,female_non_single_or_male_single,none,4,unknown_or_none,39,none,rent,2,resident_unskilled,2,yes,no,good,35_49
below_0_dm,24,repaid_to_date,other,1965,1000_plus_dm,1_to_4_years,4,female_non_single_or_male_single,none,4,savings_or_life_insurance,42,none,free,2,skilled_employee_or_official,2,yes,no,good,35_49
below_0_dm,12,all_repaid_at_bank,other,1995,below_100_dm,under_1_year,4,male_married_or_widowed,none,1,savings_or_life_insurance,27,none,rent,1,skilled_employee_or_official,2,no,no,good,25_34
below_0_dm,30,no_or_repaid_credits,furniture_equipment,2991,1000_plus_dm,7_plus_years,2,female_non_single_or_male_single,none,4,savings_or_life_insurance,25,none,rent,1,skilled_employee_or_official,2,no,no,good,25_34
below_0_dm,30,past_delay,retraining,4221,unknown_or_none,1_to_4_years,2,female_non_single_or_male_single,none,1,savings_or_life_insurance,28,none,rent,2,skilled_employee_or_official,2,no,no,good,25_34
no_checking_account,9,no_or_repaid_credits,furniture_equipment,1364,unknown_or_none,4_to_7_years,3,male_married_or_widowed,none,4,unknown_or_none,59,none,rent,1,skilled_employee_or_official,2,no,no,good,50_plus
below_0_dm,18,all_repaid_at_bank,used_car,6361,unknown_or_none,7_plus_years,2,male_married_or_widowed,none,1,real_estate,41,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,27,all_repaid_at_bank,used_car,4526,500_to_1000_dm,under_1_year,4,male_married_or_widowed,none,2,unknown_or_none,32,stores,rent,2,resident_unskilled,1,yes,no,good,25_34
below_0_dm,12,all_repaid_at_bank,furniture_equipment,3573,unknown_or_none,1_to_4_years,1,female_non_single_or_male_single,none,1,unknown_or_none,23,none,rent,1,resident_unskilled,2,no,no,good,under_25
below_0_dm,36,repaid_to_date,retraining,4455,unknown_or_none,1_to_4_years,2,male_divorced_or_separated,none,2,unknown_or_none,30,stores,rent,2,manager_or_self_employed,2,yes,no,bad,25_34
no_checking_account,9,no_or_repaid_credits,used_car,2136,unknown_or_none,1_to_4_years,3,male_married_or_widowed,none,2,unknown_or_none,25,none,rent,1,skilled_employee_or_official,2,no,no,good,25_34
below_0_dm,42,all_repaid_at_bank,retraining,5954,unknown_or_none,4_to_7_years,2,female_non_single_or_male_single,none,1,unknown_or_none,41,bank,rent,2,resident_unskilled,2,no,no,good,35_49
200_plus_dm,24,all_repaid_at_bank,used_car,3777,500_to_1000_dm,1_to_4_years,4,male_married_or_widowed,none,4,unknown_or_none,40,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
no_checking_account,15,no_or_repaid_credits,retraining,806,unknown_or_none,1_to_4_years,4,female_non_single_or_male_single,none,4,car_or_other,22,none,rent,1,resident_unskilled,2,no,no,good,under_25
below_0_dm,24,repaid_to_date,retraining,4712,1000_plus_dm,1_to_4_years,4,male_married_or_widowed,none,2,car_or_other,34,bank,rent,2,manager_or_self_employed,2,yes,no,good,25_34
below_0_dm,36,repaid_to_date,other,7432,unknown_or_none,1_to_4_years,2,female_non_single_or_male_single,none,2,car_or_other,54,none,free,1,skilled_employee_or_official,2,no,no,good,50_plus
200_plus_dm,24,all_repaid_at_bank,furniture_equipment,1851,unknown_or_none,4_to_7_years,4,female_single,guarantor,2,savings_or_life_insurance,33,none,rent,2,skilled_employee_or_official,2,yes,no,good,25_34
200_plus_dm,24,no_or_repaid_credits,other,1393,unknown_or_none,1_to_4_years,2,male_married_or_widowed,guarantor,2,unknown_or_none,31,none,rent,1,skilled_employee_or_official,2,yes,no,good,25_34
200_plus_dm,12,all_repaid_at_bank,retraining,1412,unknown_or_none,1_to_4_years,4,female_non_single_or_male_single,guarantor,2,unknown_or_none,29,none,rent,2,manager_or_self_employed,2,yes,no,good,25_34
200_plus_dm,18,no_or_repaid_credits,furniture_equipment,1473,unknown_or_none,under_1_year,3,female_single,none,4,unknown_or_none,39,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,24,no_or_repaid_credits,furniture_equipment,1533,unknown_or_none,under_1_year,4,female_non_single_or_male_single,none,3,savings_or_life_insurance,38,stores,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,12,all_repaid_at_bank,repairs,2012,1000_plus_dm,4_to_7_years,4,female_non_single_or_male_single,none,2,savings_or_life_insurance,61,none,rent,1,skilled_employee_or_official,2,no,no,good,50_plus
no_checking_account,15,no_or_repaid_credits,other,3959,unknown_or_none,1_to_4_years,3,female_non_single_or_male_single,none,2,car_or_other,29,none,rent,1,skilled_employee_or_official,2,yes,no,bad,25_34
no_checking_account,6,no_or_repaid_credits,used_car,428,unknown_or_none,7_plus_years,2,female_non_single_or_male_single,none,1,car_or_other,49,bank,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
below_0_dm,12,all_repaid_at_bank,other,2366,100_to_500_dm,4_to_7_years,3,male_divorced_or_separated,none,3,savings_or_life_insurance,36,none,rent,1,manager_or_self_employed,2,yes,no,good,35_49
200_plus_dm,12,no_or_repaid_credits,used_car,763,unknown_or_none,1_to_4_years,4,female_non_single_or_male_single,none,1,unknown_or_none,26,none,rent,1,skilled_employee_or_official,2,yes,no,good,25_34
below_0_dm,21,no_or_repaid_credits,used_car,3976,1000_plus_dm,4_to_7_years,2,male_married_or_widowed,none,3,savings_or_life_insurance,35,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
below_0_dm,18,no_or_repaid_credits,other,6260,unknown_or_none,4_to_7_years,3,male_married_or_widowed,none,3,unknown_or_none,28,none,free,1,resident_unskilled,2,no,no,good,25_34
below_0_dm,9,all_repaid_at_bank,used_car,1919,unknown_or_none,4_to_7_years,4,male_married_or_widowed,none,3,savings_or_life_insurance,35,none,free,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,24,no_or_repaid_credits,new_car,2603,500_to_1000_dm,1_to_4_years,2,female_non_single_or_male_single,none,4,savings_or_life_insurance,28,none,free,1,skilled_employee_or_official,2,yes,no,good,25_34
200_plus_dm,9,all_repaid_at_bank,repairs,936,100_to_500_dm,7_plus_years,4,male_married_or_widowed,none,2,savings_or_life_insurance,52,none,rent,2,skilled_employee_or_official,2,yes,no,good,50_plus
200_plus_dm,24,no_or_repaid_credits,used_car,3062,100_to_500_dm,7_plus_years,4,male_married_or_widowed,none,3,real_estate,32,none,free,1,skilled_employee_or_official,2,yes,no,good,25_34
below_0_dm,36,no_or_repaid_credits,furniture_equipment,4795,unknown_or_none,under_1_year,4,female_non_single_or_male_single,none,1,real_estate,30,none,rent,1,manager_or_self_employed,2,yes,no,good,25_34
200_plus_dm,36,all_repaid_at_bank,new_car,5842,unknown_or_none,7_plus_years,2,male_married_or_widowed,none,2,car_or_other,35,none,rent,2,skilled_employee_or_official,1,yes,no,good,35_49
below_0_dm,6,no_or_repaid_credits,furniture_equipment,2063,unknown_or_none,under_1_year,4,female_single,none,3,savings_or_life_insurance,30,none,free,1,manager_or_self_employed,2,yes,no,good,25_34
200_plus_dm,15,all_repaid_at_bank,furniture_equipment,1459,unknown_or_none,1_to_4_years,4,female_non_single_or_male_single,none,2,savings_or_life_insurance,43,none,rent,1,resident_unskilled,2,no,no,good,35_49
200_plus_dm,15,no_or_repaid_credits,furniture_equipment,1213,100_to_500_dm,7_plus_years,4,male_married_or_widowed,none,3,car_or_other,47,stores,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,24,all_repaid_at_bank,furniture_equipment,5103,unknown_or_none,under_1_year,3,female_single,none,3,real_estate,47,none,own,3,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,15,no_or_repaid_credits,radio_television,874,1000_plus_dm,under_1_year,4,female_non_single_or_male_single,none,1,unknown_or_none,24,none,rent,1,skilled_employee_or_official,2,no,no,good,under_25
200_plus_dm,6,no_or_repaid_credits,used_car,2978,100_to_500_dm,1_to_4_years,1,male_married_or_widowed,none,2,savings_or_life_insurance,32,none,rent,1,skilled_employee_or_official,2,yes,no,good,25_34
200_plus_dm,18,no_or_repaid_credits,other,1820,unknown_or_none,1_to_4_years,2,female_single,none,2,car_or_other,30,none,rent,1,manager_or_self_employed,2,yes,no,good,25_34
200_plus_dm,24,all_repaid_at_bank,furniture_equipment,2872,below_100_dm,7_plus_years,3,male_married_or_widowed,none,4,unknown_or_none,36,none,rent,1,skilled_employee_or_official,1,yes,no,good,35_49
0_to_200_dm,24,no_or_repaid_credits,used_car,1925,unknown_or_none,1_to_4_years,2,male_married_or_widowed,none,2,unknown_or_none,26,none,rent,1,skilled_employee_or_official,2,no,no,good,25_34
200_plus_dm,18,no_or_repaid_credits,used_car,2515,unknown_or_none,1_to_4_years,3,male_married_or_widowed,none,4,unknown_or_none,43,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
0_to_200_dm,6,no_or_repaid_credits,used_car,2116,unknown_or_none,1_to_4_years,2,male_married_or_widowed,none,2,unknown_or_none,41,none,rent,1,skilled_employee_or_official,2,yes,no,good,35_49
200_plus_dm,18,no_or_repaid_credits,furniture_equipment,1453,unknown_or_none,under_1_year,3,female_non_single_or_male_single,none,1,unknown_or_none,26,none,rent,1,skilled_employee_or_official,2,no,no,good,25_34
200_plus_dm,10,no_or_repaid_credits,other,1364,unknown_or_none,1_to_4_years,2,female_non_single_or_male_single,none,4,savings_or_life_insurance,64,none,rent,1,skilled_employee_or_official,2,yes,no,good,50_plus
200_plus_dm,6,no_or_repaid_credits,used_car,1543,500_to_1000_dm,1_to_4_years,4,male_divorced_or_separated,none,2,unknown_or_none,33,none,rent,1,skilled_employee_or_official,2,no,no,good,25_34
below_0_dm,12,no_or_repaid_credits,other,1318,500_to_1000_dm,7_plus_years,4,male_married_or_widowed,none,4,unknown_or_none,54,none,rent,1,skilled_employee_or_official,2,yes,no,good,50_plus
